Segments:,2,PostProcess:,1337Replacement,OutputPrefix:,Logging on...
Forename,Surname,,,,
Zero,Cool,,,,
Flying,Collective,,,,
Null,Phreak,,,,
Data,Encryption,,,,
Error,Error,,,,
Cyber,Ghost,,,,
Mr,Cyborg,,,,
Code,Master,,,,
1337,Assassin,,,,
Anonymous,Hitman,,,,
Acid,Cipher,,,,
Liquid,Glitch,,,,
Solid,Agent,,,,
Rogue,Reaper,,,,
Gamma,Blade,,,,
Fiber,Jester,,,,
Stealth,Phantom,,,,
Alpha,Ghost,,,,
Doctor,Laser,,,,
Silent,Shadow,,,,
Trace,Awesomesauce,,,,
CMD,Sec,,,,
Poison,Cult,,,,
Toxic,Jacker,,,,
Lord,Disaster,,,,
Alien,Virus,,,,
Crash,Override,,,,
The,Warlock,,,,
Winston,Plague,,,,
Boris,Killer,,,,
Spoof,Bot,,,,
Firewall,Malware,,,,
Crack,Payload,,,,
Deep,Worm,,,,
Jailbreak,Cloak,,,,
Script,Threat,,,,
